CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
3d5fe73f9b69a86cd2a719a049e42da2,128,1,750.0,4,2,5,425,Potential Loyalists
3d60317a015d799b113f98ee908fd655,122,1,39.0,4,2,2,422,Potential Loyalists
3d7fe6a6e4aa8a04666ba8b541209cff,134,1,0.0,4,2,1,421,Potential Loyalists
3d850129935d047bc6fc1fed1022641a,178,1,61.99,4,2,3,423,Potential Loyalists
3d8a51057b28b7b5172c8bc46cb6a7f5,60,1,0.0,5,2,1,521,Potential Loyalists
3d8ea4321fc67d4386e0f40f26584a02,188,1,109.9,4,2,4,424,Potential Loyalists
3d9eefabcc18173795e8cdb0b5644386,94,1,29.9,5,2,2,522,Potential Loyalists
3d9f7bdb0b7ba4c2373ecd9a8bcf5574,140,1,99.9,4,2,4,424,Potential Loyalists
3da6aa0af0352042b86a7fb507c0ff74,188,1,94.9,4,2,4,424,Potential Loyalists
3dac8a5eb348589998102dcddf3bb259,69,1,55.0,5,2,3,523,Potential Loyalists
3db3c93c3b1b7e297d823753b18e1faa,172,1,11.6,4,2,2,422,Potential Loyalists
3deefd795808c47f79519d9461a5cbe4,56,1,139.8,5,2,4,524,Potential Loyalists
3df4899f61ce017d60b180c1dedc278e,123,1,34.99,4,2,2,422,Potential Loyalists
3e026dabdf68f6b9957ed741f364f1be,76,1,119.8,5,2,4,524,Potential Loyalists
3e34c4d5834e6206ef8e4a5d4343f7ee,68,1,52.9,5,2,3,523,Potential Loyalists
3e36d59a55c36aeb0c4c974c3c506246,34,1,39.0,5,2,2,522,Potential Loyalists
3e4d0419daf434e0d8bcb9fcbc9b0f3d,65,1,99.9,5,2,4,524,Potential Loyalists
3e4ef963d1c04ababbd4cf03c4d034a6,93,1,91.8,5,2,4,524,Potential Loyalists
3e4f7d082101e1bb55fe8a7115049625,141,1,105.25,4,2,4,424,Potential Loyalists
3eb3fa840d4e664cfb1aaed1112df226,174,1,34.36,4,2,2,422,Potential Loyalists
3ed766ba830792bcc9ad889d2607eab7,197,1,59.9,4,2,3,423,Potential Loyalists
3edcab192482e9871c17b34cf98c3996,73,1,118.7,5,2,4,524,Potential Loyalists
3eebbd3c1444c745692459cca841462b,162,1,129.0,4,2,4,424,Potential Loyalists
3eec5203b4af0fbcf6cac3498538cb86,202,1,0.0,4,2,1,421,Potential Loyalists
3efe4df288340c55425041192e0badf1,55,1,110.32,5,2,4,524,Potential Loyalists
3efe8677ea2d8eb0634c53ff5812f75a,59,1,0.0,5,2,1,521,Potential Loyalists
3eff47149425984172e11e18a974e80e,177,1,19.99,4,2,2,422,Potential Loyalists
3f0f963ff7f96b36e1739a44f2fa0a72,65,1,49.9,5,2,3,523,Potential Loyalists
3f1ae9854823f7c0a8027bd994b2ce64,170,1,139.8,4,2,4,424,Potential Loyalists
3f39d2ea588a0e5899aaa6b6418d3d05,43,1,115.98,5,2,4,524,Potential Loyalists
3f51ff993f1cf25a9101463bf5ebe6b1,200,1,200.99,4,2,5,425,Potential Loyalists
3f59da3cb710cc2853609980e1b820d3,55,1,114.9,5,2,4,524,Potential Loyalists
3f6930582cac6bec9a9533a44e00b69b,104,1,37.9,5,2,2,522,Potential Loyalists
3f8f42bd3277d3483aafe9b39cf930a1,105,1,141.4,5,2,4,524,Potential Loyalists
3fbdb765b8e1d5608f2621ef4b8ab863,33,1,44.9,5,2,2,522,Potential Loyalists
3ff2cd81fc957790d81d52be091615c3,132,1,264.0,4,2,5,425,Potential Loyalists
40386918bff25787189628d04176f7bb,183,1,149.9,4,2,4,424,Potential Loyalists
404cff864766c22ae5918af70c2d15e4,47,1,98.99,5,2,4,524,Potential Loyalists
404e415d2dc63f769916d23ba8040386,201,1,85.9,4,2,3,423,Potential Loyalists
406c403a3a24a8ab043b84bca52eb343,195,1,151.9,4,2,5,425,Potential Loyalists
4077fcb87fb654d7fcb5c96b649415c4,79,1,99.99,5,2,4,524,Potential Loyalists
408604325b96735d6dbed039246efd64,32,1,1299.65,5,2,5,525,Potential Loyalists
40af6992b2de59d61acf4767fdfd6cc4,159,1,18.0,4,2,2,422,Potential Loyalists
40b5e9eed4db7f956359145971056f5d,40,1,25.0,5,2,2,522,Potential Loyalists
40bb6e4754ff5f9199f857e146af0cb5,185,1,74.9,4,2,3,423,Potential Loyalists
40bfd379bd349f89e737a4c5ef8ae52a,48,1,55.0,5,2,3,523,Potential Loyalists
40c225da749a4006dc53d3fd2eb5b2f9,83,1,94.9,5,2,4,524,Potential Loyalists
40cd95d9c477a8fa94e9fac953444150,118,1,40.6,4,2,2,422,Potential Loyalists
40d028e5e7fc571cabebc613e805ce8e,177,1,0.0,4,2,1,421,Potential Loyalists
40d2c60699feb0f855b666366f8274ff,170,1,150.0,4,2,5,425,Potential Loyalists
40d306efe27702bd8ecabd6c35f32ddb,79,1,124.17,5,2,4,524,Potential Loyalists
40e110f621ab9641c7a7b7f9c39f44bf,147,1,110.0,4,2,4,424,Potential Loyalists
40e76904901b914e63faa41ba28e54c8,190,1,54.99,4,2,3,423,Potential Loyalists
40f8c65b3ef65fefe1ab5ea61b6e0ab0,174,1,0.0,4,2,1,421,Potential Loyalists
40f94a38b9e0e57adccb0d0b2811e56f,201,1,129.9,4,2,4,424,Potential Loyalists
41013aa51f66c28ff9d2c9d9d8340db5,147,1,220.0,4,2,5,425,Potential Loyalists
41054d3e7201dd301c73f493decb6806,131,1,27.9,4,2,2,422,Potential Loyalists
410e1f5d1ba42846c5be7a0c9789b65f,111,1,349.97,5,2,5,525,Potential Loyalists
4126ee95b7096d3383d3885b8180c567,52,1,136.76,5,2,4,524,Potential Loyalists
4147a5e98be4bff92386986284b08c87,176,1,69.0,4,2,3,423,Potential Loyalists
