category,units_sold,orders,products,sellers,revenue,freight,avg_price,avg_review_score,late_delivery_rate,gross_sales_with_freight,revenue_share_pct,cum_revenue_share_pct
home_construction,596,483,221,67,81407.57,13614.8,136.58988255033557,3.95777027027027,0.08221476510067115,95022.37000000001,0.6157212240451623,92.33389233529151
home_appliances,754,747,364,48,78832.48,14469.3,104.55236074270556,4.222148246782068,0.06763925729442971,93301.78,0.5962446868284579,92.93013702211998
agro_industry_and_commerce,206,177,71,32,70566.1,5637.2,342.55388349514567,4.087378640776699,0.043689320388349516,76203.3,0.5337224224736511,93.46385944459362
furniture_living_room,495,414,152,55,67350.7,17694.37,136.0620202020202,3.9346938775510205,0.07878787878787878,85045.06999999999,0.5094029393617634,93.97326238395539
home_confort,429,392,111,20,58008.450000000004,8429.77,135.21783216783217,3.8548009367681497,0.10256410256410256,66438.22,0.4387433974378869,94.41200578139326
fixed_telephony,255,212,113,48,55315.21,4501.33,216.92239215686274,3.757936507936508,0.043137254901960784,59816.54,0.41837323985367947,94.83037902124694
air_conditioning,289,246,121,51,53323.56,6530.99,184.5105882352941,4.052816901408451,0.03806228373702422,59854.549999999996,0.40330951573232865,95.23368853697927
audio,362,348,58,36,50570.6,5684.72,139.69779005524862,3.8365921787709496,0.1270718232044199,56255.32,0.3824876695459437,95.61617620652522
small_appliances_home_oven_and_coffee,73,72,30,14,46589.56,2656.34,638.2131506849315,4.438356164383562,0.0684931506849315,49245.899999999994,0.35237731467633204,95.96855352120156
kitchen_dining_laundry_garden_furniture,274,241,92,51,45531.98,11540.99,166.1751094890511,4.033088235294118,0.043795620437956206,57072.97,0.3443783724142589,96.31293189361583
books_general_interest,537,496,207,53,45302.15,8880.39,84.36154562383614,4.512195121951219,0.06517690875232775,54182.54,0.34264006713230166,96.65557196074812
construction_tools_lights,301,242,77,36,39957.0,7490.14,132.74750830564784,4.082191780821918,0.09966777408637874,47447.14,0.30221234891512605,96.95778430966325
construction_tools_safety,183,159,88,33,38773.22,3730.8,211.87551912568307,3.967032967032967,0.0546448087431694,42504.020000000004,0.2932589005982167,97.25104321026149
industry_commerce_and_business,265,232,68,29,38498.81,7580.53,145.27852830188678,4.125954198473282,0.07547169811320754,46079.34,0.2911834171869045,97.54222662744839
food,499,441,79,56,28731.15,7063.53,57.57745490981964,4.262833675564682,0.09819639278557114,35794.68,0.2173063124992573,97.75953293994765
market_place,305,274,99,55,27795.77,5318.61,91.13367213114755,4.072607260726072,0.04262295081967213,33114.38,0.21023162253433922,97.96976456248197
costruction_tools_garden,232,190,86,32,25096.28,5187.66,108.17362068965517,4.116379310344827,0.07327586206896551,30283.94,0.18981419345375528,98.15957875593573
art,197,195,52,33,23657.3,3828.23,120.08781725888325,4.082051282051282,0.07614213197969544,27485.53,0.17893055539679684,98.33850931133253
fashion_shoes,257,235,170,12,23001.46,4813.37,89.49984435797666,4.290513833992095,0.058365758754863814,27814.829999999998,0.17397014928741686,98.51247946061996
